lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,memory,step
0.00997794446709763,0.006614828109741211,0.07083337008953094,0.047734107449650766,84.2620849609375,0.02309926217421889,84.0362548828125,0.2459155559539795,5948.0,100.0
0.009955660594668054,0.006486773490905762,0.07363665588200093,0.05059762019664049,79.7607421875,0.023039035312831403,64.3402099609375,0.24690489768981932,3774.0,200.0
0.009933371122565919,0.005483555793762207,0.055077818036079404,0.03809173870831728,86.163330078125,0.016986078955233096,81.353759765625,0.2458702802658081,3774.0,300.0
0.009911076035273796,0.005223202705383301,0.06405907720327378,0.04489793237298727,86.3616943359375,0.019161145482212306,79.3121337890625,0.2460336923599243,3774.0,400.0
0.0098887753171919,0.005756402015686035,0.05135319866240025,0.036634614877402785,79.595947265625,0.014718583971261977,78.3203125,0.24637577533721924,4928.0,500.0
0.009866468952637547,0.005608797073364258,0.05575023591518402,0.03938784822821617,77.0355224609375,0.01636238768696785,81.0882568359375,0.24632842540740968,3774.0,600.0
0.009844156925844432,0.00572211742401123,0.04244192894548178,0.029935243912041186,91.0247802734375,0.012506684800609947,92.724609375,0.2479724884033203,3774.0,700.0
0.009821839220962003,0.005830454826354981,0.04205992165952921,0.029336141422390938,79.9407958984375,0.012723780050873757,76.6021728515625,0.24785966873168946,3774.0,800.0
0.009799515822054777,0.006236958503723145,0.041365469433367254,0.028970771096646787,92.1478271484375,0.012394698709249497,91.5008544921875,0.24808135032653808,3774.0,900.0
0.00977718671310168,0.005691838264465332,0.04626468457281589,0.03216973356902599,77.7191162109375,0.014094950817525386,76.776123046875,0.24780128002166749,3774.0,1000.0
0.009754851877995354,0.006024789810180664,0.036534829810261724,0.025206910073757173,93.75,0.011327919736504554,92.7947998046875,0.24851698875427247,3774.0,1100.0
0.009732511300541468,0.005622315406799317,0.04571469537913799,0.031636256538331506,81.8817138671875,0.01407843865454197,80.1177978515625,0.24825115203857423,3774.0,1200.0
0.009710164964458045,0.005664658546447754,0.03837061226367951,0.0269054033793509,73.236083984375,0.011465209489688277,71.3836669921875,0.24772121906280517,3774.0,1300.0
0.009687812853374727,0.006138157844543457,0.04455740451812744,0.03206148035824299,76.0650634765625,0.01249592425301671,72.8118896484375,0.24867660999298097,3774.0,1400.0
0.009665454950832103,0.005637431144714355,0.049880812875926495,0.03527574548497796,78.1036376953125,0.01460506757721305,76.446533203125,0.248152756690979,3774.0,1500.0
0.009643091240280942,0.006068515777587891,0.04314704183489084,0.030123660899698736,87.5213623046875,0.013023381307721137,87.2894287109375,0.24858052730560304,3774.0,1600.0
0.009620721705081534,0.005719780921936035,0.04495006985962391,0.03201020732522011,73.2635498046875,0.012939862767234444,71.380615234375,0.24952967166900636,3774.0,1700.0
0.009598346328502901,0.005792570114135742,0.03803885765373707,0.026856992952525617,77.0263671875,0.011181865073740482,78.28369140625,0.24902842044830323,3774.0,1800.0
0.009575965093722064,0.005749130249023437,0.036345836333930494,0.026145022921264173,88.5040283203125,0.010200813226401807,87.8997802734375,0.2486107587814331,3774.0,1900.0
0.009553577983823325,0.005771374702453614,0.03591857571154833,0.02526981886476278,86.9537353515625,0.010648756567388774,84.3841552734375,0.2484672784805298,3774.0,2000.0
0.0095311849817975,0.0056182146072387695,0.0378158112987876,0.026259682327508926,84.326171875,0.011556129530072212,85.3179931640625,0.24902691841125488,3774.0,2100.0
0.009508786070541123,0.005822682380676269,0.04468656405806541,0.031682797335088254,89.07470703125,0.01300376681610942,92.2882080078125,0.2500137805938721,3774.0,2200.0
0.009486381232855704,0.006820869445800781,0.03958411421626806,0.027988896518945695,84.6923828125,0.011595216998830437,85.272216796875,0.25080370903015137,3774.0,2300.0
0.009463970451446941,0.0056992053985595705,0.029436725564301013,0.020957219414412975,93.9605712890625,0.008479505777359009,91.7572021484375,0.2487987756729126,3774.0,2400.0
0.009441553708923918,0.005716371536254883,0.04337696358561516,0.0304926797747612,80.4168701171875,0.012884283252060414,80.1666259765625,0.24854435920715331,3774.0,2500.0
0.009419130987798348,0.006044125556945801,0.04043425489217043,0.028408954199403525,90.00244140625,0.01202530087903142,89.7216796875,0.2496168613433838,3774.0,2600.0
0.009396702270483696,0.005834817886352539,0.03754778932780027,0.02704553008079529,85.8306884765625,0.01050225947983563,83.3343505859375,0.24960334300994874,3774.0,2700.0
0.009374267539294417,0.005827617645263672,0.03155146203935146,0.021496185380965472,76.08642578125,0.010055277217179536,75.8697509765625,0.2490156412124634,3774.0,2800.0
0.00935182677644513,0.005518126487731934,0.043568648211658,0.030763969756662846,83.1390380859375,0.012804677849635482,81.3568115234375,0.24978303909301758,3774.0,2900.0
